Case_ID,Issue_Type,Symptom,Topology_Note,Show_Output,Expected_Fault,OSI_Layer,Concept,Severity
NET-001,Default Gateway,PC1 cannot reach the server at 192.168.20.100.,"PC1 is connected to SW1. SW1 connects to R1. R1 connects to SW2, where the server is connected.",show ip interface brief: G0/0 192.168.10.1 up/up; G0/1 192.168.20.1 up/up. PC1 ping to 192.168.20.100: 100% packet loss.,"PC1 is configured with an incorrect default gateway. The configured gateway is 192.168.10.254, while R1 G0/0 is 192.168.10.1.",Layer 3,Default Gateway,High
NET-002,IP Addressing,PC1 cannot reach the server at 192.168.20.100,"PC1 is connected to SW1, which connects to R1 G0/0","PC1 IP = 192.168.20.10, Mask = 255.255.255.0, Gateway = 192.168.10.1; ping to server = 100% loss",PC1 has an IP address belonging to the wrong network.,Layer 3,IPv4 Addressing,High
NET-003,Subnet Mask / Subnetting,PC1 cannot reach the gateway or server.,"PC1 is connected to SW1, which connects to R1 G0/0.","PC1 IP = 192.168.10.10, Subnet Mask = 255.255.255.255, Gateway = 192.168.10.1; ping to 192.168.10.1 fails with 100% loss.","PC1 has an incorrect subnet mask, causing the configured gateway to be outside PC1's calculated subnet.",Layer 3,Subnet Mask,High
NET-004,Duplicate / IP Conflict,PC1 and PC2 experience unreliable communication on the LAN.,PC1 and PC2 are connected to SW1 on the same 192.168.10.0/24 network.,PC1 IP = 192.168.10.10; PC2 IP = 192.168.10.10; arp -a may show changing MAC information for the duplicate address.,"PC1 and PC2 are configured with the same IPv4 address, creating an IP address conflict.",Layer 3,Duplicate IP,High
NET-005,IP Addressing,PC2 cannot reach the server at 192.168.20.100.,"PC2 is connected to SW1, which connects to R1 G0/0.","PC2 IP = 192.168.20.11, Mask = 255.255.255.0, Gateway = 192.168.10.1; ping to server fails.",PC2 has been assigned an IP address from the wrong network.,Layer 3,IPv4 Addressing,High
NET-006,Default Gateway,PC2 cannot reach the server at 192.168.20.100.,"PC2 is connected to SW1, which connects to R1 G0/0.","PC2 IP = 192.168.10.11, Mask = 255.255.255.0, Gateway = 192.168.20.1; ping to server fails.",PC2 is using R1's remote-side address instead of its local gateway 192.168.10.1.,Layer 3,Default Gateway,High
NET-007,Subnet Mask / Subnetting,PC2 cannot correctly communicate with the gateway or server.,PC2 is connected to SW1 and uses R1 G0/0 as its gateway.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.255, Gateway = 192.168.10.1; ping to gateway fails.","PC2 has an incorrect subnet mask, placing the gateway outside its calculated subnet.",Layer 3,Subnet Mask,High
NET-008,IP Addressing,PC1 cannot reach the server at its expected address.,"Server is connected to SW2, which connects to R1 G0/1.","Server IP = 192.168.10.100, Mask = 255.255.255.0, Gateway = 192.168.20.1; ping to 192.168.20.100 fails.",The server has been moved to the wrong IP network.,Layer 3,IPv4 Addressing,High
NET-009,Default Gateway,Server cannot communicate correctly with the client network.,Server is connected to SW2 and should use R1 G0/1 as its gateway.,"Server IP = 192.168.20.100, Mask = 255.255.255.0, Gateway = 192.168.10.1; ping from PC1 to server fails.",Server is configured with the gateway belonging to the wrong LAN.,Layer 3,Default Gateway,High
NET-010,Subnet Mask / Subnetting,Server cannot correctly communicate with its gateway.,Server is connected to SW2 and R1 G0/1 provides its gateway.,"Server IP = 192.168.20.100, Mask = 255.255.255.255, Gateway = 192.168.20.1; gateway ping fails.","Server has an incorrect subnet mask, so its gateway is outside its calculated subnet.",Layer 3,Subnet Mask,High
NET-011,Default Gateway,PC1 cannot reach the server.,PC1 is connected to SW1 and uses R1 G0/0 as its gateway.,"PC1 IP = 192.168.10.10, Mask = 255.255.255.0, Gateway = 192.168.10.254; ping to gateway fails.",PC1 points to an unused gateway address instead of R1 G0/0.,Layer 3,Gateway Reachability,High
NET-012,Default Gateway,PC2 cannot reach the remote server.,PC2 is connected to SW1 and uses R1 G0/0 as its gateway.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.0, Gateway = 192.168.10.254; ping to gateway fails.",PC2 uses an unreachable gateway address.,Layer 3,Gateway Reachability,High
NET-013,Default Gateway,Server cannot return traffic to the client network.,Server is connected to SW2 and uses R1 G0/1 as its gateway.,"Server IP = 192.168.20.100, Mask = 255.255.255.0, Gateway = 192.168.20.254; gateway ping fails.",Server uses an unreachable gateway address instead of 192.168.20.1.,Layer 3,Gateway Reachability,High
NET-014,Subnet Mask / Subnetting,PC1 has difficulty communicating with devices according to the intended /24 network.,PC1 is connected to SW1 on the 192.168.10.0/24 LAN.,"PC1 IP = 192.168.10.10, Mask = 255.255.255.128, Gateway = 192.168.10.1.",PC1 is configured with a different subnet size than the intended LAN configuration.,Layer 3,Subnetting,Medium
NET-015,Subnet Mask / Subnetting,PC2 does not use the intended subnet boundary.,PC2 is connected to SW1 on the 192.168.10.0/24 LAN.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.128, Gateway = 192.168.10.1.",PC2 uses an incorrect subnet mask compared with the intended /24 LAN.,Layer 3,Subnetting,Medium
NET-016,Subnet Mask / Subnetting,Server does not use the intended subnet boundary.,Server is connected to SW2 on the 192.168.20.0/24 LAN.,"Server IP = 192.168.20.100, Mask = 255.255.255.128, Gateway = 192.168.20.1.",Server uses an incorrect subnet mask compared with the intended /24 LAN.,Layer 3,Subnetting,Medium
